,title,author,date,body,rating,seat_type,aircraft_type,seat_layout,date_flown,type_of_traveller,sleep_comfort,sitting_comfort,seat/bed_width,seat/bed_length,seat_privacy,power_supply,seat_storage,recommended,seat_legroom,seat_recline,seat_width,aisle_space,viewing_tv_screen
50,"""the seats are horrible""",Matt O'Donnell,2014-07-25,The seats are horrible. The two main issues are this: when reclined the seat in front in basically in your lap. You can't use your tray table you can't see your screen and anything you had on your table gets smashed away. The second issue is that the arm rests can't be kept in a raised position.,3,economy class,airbus a380,2x4x2,,,,,,,,,,no,3.0,3.0,2.0,1.0,2.0
51,"""impossible to use your tray table""",Stephen James,2014-07-25,It's incredible what airlines think people will put up with. When the seat in front is reclined you're stuffed. The video screen is too close to your face to focus on and it is impossible to use your tray table. It was a degrading experience which I hope I never have to repeat. I've flown QANTAS for years but now I think it's time to give other airlines my business when flying internationally. The staff were fantastic.,1,economy class,airbus a380,3x4x3,,,,,,,,,,no,2.0,1.0,4.0,1.0,2.0
52,"""absence of overhead bin space""",G Turnley,2014-03-11,SYD-LAX Seat 35F and LAX-SYD Seat 35J. Both these seats are aisle and considered Exit row and come with a $180 surcharge. There are just 5 Economy rows on the Upper Deck of the A380. Heaps of legroom but 35F and the adjoining seats become a defacto walkway for other passengers going to the toilet. In the dark they trip over your feet. 35J has the same legroom and as the space leads to nowhere you don't get other passengers stumbling over you. The huge downside to these seats is the almost absence of overhead bin space for your stuff. Even worse 35JK do not have a seat pocket in front so nowhere to put small items you use during the flight. Look good on paper but not good in reality.,5,economy class,airbus a380,2x4x2,,,,,,,,,,no,5.0,3.0,3.0,5.0,5.0
53,"""very comfortable journey""",Kidson Carr,2014-01-13,Very comfortable journey on top deck of A380 during LHR to SYD flight. It felt like business class with no-one next to me; quiet spacious clean wide seats. This was one of the best economy class flights I've had. I booked and paid well in advance and selected my seat 4 months prior as you are able to do with certain levels of Qantas frequent flyer.,9,economy class,airbus a380,3x4x3,,,,,,,,,,yes,5.0,5.0,5.0,4.0,4.0
54,"""found the seat to be hard uncomfortable""",R Baker,2014-01-13,The economy class on Qantas could only be described as cattle class. I had a window seat and had no access whatever to the aisle. I had to wait 12 hours of a 14 hour flight to use the toilet as the persons in the seats next to me were both asleep. I found the seat to be hard uncomfortable and seriously in need of further adjustment. When paying an honest fare you expect honest comfort not to be penned in like cattle and whoever designed the seats for Qantas seriously needs further education in ergonomics.,5,economy class,airbus a380,3x4x3,,,,,,,,,,no,3.0,2.0,2.0,1.0,3.0
55,"""legroom is excellent""",Tom Abbott,2014-01-13,"LAX-SYD Seat 27K SYD-LAX seat 28K. Premium Economy seat legroom is excellent and I'm 6' 3"" 240lbs - the seat cushion comfort is not. It's inadequate from a comfort standpoint for a long haul flight the cushions are thin and unsupportive the fabric does not hold you in position causing you to slide forward when utilizing the generous pitch the seat back offers. I found myself shifting my weight constantly just trying to keep my backside from falling asleep. The other issue concerns the foot rest on the PE seats it's irrelevant for anyone over 5 feet tall. Basically it's useless and difficult to fully extend even if you wanted to use it. As far as ingress and egress from the window seat get to know your neighbor really fast since you will need to get up and move around many time during the flight just to keep your sanity. The A380 and the flight attendants were great.",5,premium economy,airbus a380,2x4x2,,,,,,,,,,yes,5.0,5.0,4.0,4.0,5.0
56,"""seats extremely comfortable""",L Bateman,2014-01-13,Seats 26K SYD-LHR and 24K LHR-SYD. Both seats extremely comfortable with plenty of room. The storage bin alongside the window very useful. Seat 26K slightly awkward to get past 26J to the isle but not impossible. When the seat in front reclined still plenty of personal space. Seat 24K was an exit row seat with exceptional leg room but a lack of places to put things. The other problem with this seat is the window is slightly behind you so instead of looking forward and out you look directly to the side making it a bit uncomfortable to look out.,9,premium economy,airbus a380,2x3x2,,,,,,,,,,yes,5.0,5.0,5.0,4.0,5.0
57,"""seat reclined fully""",Charles Hartwell,2014-01-13,We travelled in the 'green' section and in seats 38 DEF which were at the back of the section with a wall behind us. My wife and I travelled with our 5 year old. The flight was QF2 from Dubai to Sydney. We liked row 38. The seat reclined fully no one kicked the back of our seats and we did not have to be concerned shout reclining into someone's lap. In addition there was some space behind the seat to put blankets etc. The aircraft had large storage bins which took our hand baggage with no issues The seat location meant that we were close to a choice of toilets and also the self serve food area The cabin staff were excellent - friendly attentive and coming round on a regular basis with drinks and goodies (m&m's etc). The quality of the food was very good as was the range of drinks available. There was plenty to eat onboard and the self service area was topped up with goodies. Also Qantas serve good coffee and hot chocolate with marshmallows. There were never any queues for the toilets and we were not bothered by any noise from the nearby galley. However the seat is no where as comfortable as Emirates and although the IFE is good it us not a patch on Emirates The legroom is ok but when the seat in front reclines it reclines right into your lap making a long journey very uncomfortable. On a 13+ hour flight! there were no goodie / activity bags given out to our 5 year old and the choice of children's movies was quite limited. On our first leg a Emirates flight my daughter thought Santa was on the plane due to the huge amount of stuff she was given. We had a lot of turbulence and no warnings etc from the captain. On the Emirates leg the captain warned us in advance and then after some heavy bumps came on and reassured everyone that all was well. If I had the choice I would chose the Emirates A380 over Quantas' A380 on a long flight purely due to the much more comfortable seat better IFE and great goodies for kiddies. Thus outweighs (for us) our experience that Qantas have more friendly and attentive cabin crew. If we were to fly on the Qantas A380 it would be in the same seats or upstairs (review of our return trip to come).,5,economy class,airbus a380,3x4x3,,,,,,,,,,yes,3.0,4.0,4.0,4.0,3.0
58,"""legroom was a little tight""",J Tinning,2014-01-13,Generally comfortable but the legroom was a little tight. Handset for the screen conveniently stowed in armrest. I didn't experience any discomfort at all during the flight and enjoyed it.,9,economy class,airbus a380,3x4x3,,,,,,,,,,yes,4.0,5.0,4.0,5.0,5.0
59,"""my shins kept hitting the seat in front""",John Bell,2014-01-13,Melbourne to London. The seat pitch was such that my shins kept hitting the seat in front. As soon as I reclined I had a complaint from the passenger behind that her screen was too close to her face. Exiting the seat with all seats in front was awkward. Meal service minimal but adequate. The difference between Emirates and Qantas economy are significant.,2,economy class,airbus a380,3x4x3,,,,,,,,,,no,1.0,2.0,3.0,2.0,4.0
60,"""very comfortable journey""",Kidson Carr,2014-01-13,Very comfortable journey on top deck of A380 during LHR to SYD flight. It felt like business class with no-one next to me; quiet spacious clean wide seats. This was one of the best economy class flights I've had. I booked and paid well in advance and selected my seat 4 months prior as you are able to do with certain levels of Qantas frequent flyer.,9,economy class,airbus a380,3x4x3,,,,,,,,,,yes,5.0,5.0,5.0,4.0,4.0
61,"""found the seat to be hard uncomfortable""",R Baker,2014-01-13,The economy class on Qantas could only be described as cattle class. I had a window seat and had no access whatever to the aisle. I had to wait 12 hours of a 14 hour flight to use the toilet as the persons in the seats next to me were both asleep. I found the seat to be hard uncomfortable and seriously in need of further adjustment. When paying an honest fare you expect honest comfort not to be penned in like cattle and whoever designed the seats for Qantas seriously needs further education in ergonomics.,5,economy class,airbus a380,3x4x3,,,,,,,,,,no,3.0,2.0,2.0,1.0,3.0
62,"""legroom is excellent""",Tom Abbott,2014-01-13,"LAX-SYD Seat 27K SYD-LAX seat 28K. Premium Economy seat legroom is excellent and I'm 6' 3"" 240lbs - the seat cushion comfort is not. It's inadequate from a comfort standpoint for a long haul flight the cushions are thin and unsupportive the fabric does not hold you in position causing you to slide forward when utilizing the generous pitch the seat back offers. I found myself shifting my weight constantly just trying to keep my backside from falling asleep. The other issue concerns the foot rest on the PE seats it's irrelevant for anyone over 5 feet tall. Basically it's useless and difficult to fully extend even if you wanted to use it. As far as ingress and egress from the window seat get to know your neighbor really fast since you will need to get up and move around many time during the flight just to keep your sanity. The A380 and the flight attendants were great.",5,premium economy,airbus a380,2x4x2,,,,,,,,,,yes,5.0,5.0,4.0,4.0,5.0
63,"""seats extremely comfortable""",L Bateman,2014-01-13,Seats 26K SYD-LHR and 24K LHR-SYD. Both seats extremely comfortable with plenty of room. The storage bin alongside the window very useful. Seat 26K slightly awkward to get past 26J to the isle but not impossible. When the seat in front reclined still plenty of personal space. Seat 24K was an exit row seat with exceptional leg room but a lack of places to put things. The other problem with this seat is the window is slightly behind you so instead of looking forward and out you look directly to the side making it a bit uncomfortable to look out.,9,premium economy,airbus a380,2x3x2,,,,,,,,,,yes,5.0,5.0,5.0,4.0,5.0
64,"""felt like your space was being invaded""",S Howard,2013-04-20,This was the worst economy class seat I have had the misfortune to be seated in. The legroom was less than the standard planes if the person in front of you had their seat reclined you could not use your tray table and it really felt like your space was being invaded! I would have thought with the A380 you would have been given a little more room but this was certainly not the case. The staff were miserable the service inefficient food was disgusting. The only good thing was that I was only on the plane for 7 hours! I would not recommend the Qantas A380 plane of service - pay more get more!,1,economy class,airbus a380,3x4x3,,,,,,,,,,no,1.0,3.0,3.0,1.0,1.0
65,"""worst seat I've encountered""",Michael Maley,2013-04-20,London to Sydney on QF2 an A380 service I had seat 36F an economy aisle seat on the Upper Deck. It turned out to be the worst seat I've encountered in over 20 years of long-haul flying. The problem was that there was a box-like structure containing who knows what mechanism immediately under the seat in front of me which meant that I had leg room in the most literal sense - room for one leg! Fine for children or those missing a left leg lousy for anyone else. (I might add that I had more leg room on my 40 minute connecting flight to Canberra in Economy on a 737-800 than for the 12+ hours flight from London to Singapore.) I put up with it during the London-Singapore leg but mentioned my dissatisfaction to some crew members not long into the Singapore-Sydney leg. To their credit they were extremely sympathetic and helpful went looking for another seat and moved me to 48A downstairs an exit row which was very much better.,1,economy class,airbus a380,2x3x2,,,,,,,,,,no,1.0,3.0,3.0,4.0,3.0
66,"""was able to sleep""",R Dillehay,2013-04-20,I only travel Business or First on International flights usually using miles. This was my third experience with an international airline's Premium Economy offering. I paid $$ for this flight and am very happy that I did. I found the 15 hour flight from DFW to BNE very good the service was as good as I have had in QF Business. I was able to sleep was looked after fed and airplane was clean.,9,premium economy,boeing 747-400,2x4x2,,,,,,,,,,yes,4.0,5.0,4.0,5.0,4.0
67,"""knees pushed against seat in front""",Adrian Bowness,2013-02-16,Food not great - settled for bread and cheese. My legs were cramped on the final leg (Singapore – Sydney) - knees pushed against seat in front which meant I couldn't rest my head. Flight staff not pleasant on final leg. Chaotic flight staffing on first leg - it was like a mad house - people asking to be re-seated insufficient overhead locker space (someone took up our luggage space before we boarded). Biggest problem - we did not sleep well. Can't blame Qantas but one chap sat next to me snored like a pig throughout the flight - I lost a full nights sleep - the stewards were aware but what could they do!! When table and TV screen in place it was like sitting in a steel box. Need to look at an angle when looking at TV screen - screen pulls out from seat rather than located directly in front. The worst part of the journey was the reclining seat in front. When fully reclined it was impossible to use my tray and virtually impossible for my wife to leave her central seat. All in all an unpleasant experience when compared with Premium Economy with Air New Zealand.ked onto an A380 again unless I win the lottery and can go first class. (probably not going to happen?),1,premium economy,airbus a380,2x3x2,,,,,,,,,,no,3.0,5.0,2.0,1.0,2.0
68,"""seats recline beautifully""",A Dey,2013-02-15,LAX to Sydney. The economy A380 seats are a disgrace. The backs are thinner making every movement and touch from behind felt immediately. The seats recline beautifully - except the lovely recline means you are lying in someone's lap and someone is probably lying in your lap. This makes sitting up and reading impossible if the person in front of you goes to sleep before you do. The entertainment screen is also too close to see clearly as soon the seat in front of you is reclined. Lucky for me the gentleman in front of me was asked to raise his seat back so I could eat. The seats themselves are barely wide enough to sit in. There is less leg room than any other flight I've been on in my life. To eat requires the capacity to keep one's arms glued to one's sides while wielding a fork and knife so one is not elbow jousting with the neighbor. The tray table is so small it barely fits the tiny food tray which is all of about 9 x 5 inches. The entertainment screen remote is tucked away in the arm between the seats so you have to ask the person next to you to move his arm to retrieve it. Then you have to slam the armrest lid down on the attached cord without breaking it. I just kept the remote out and hanging off the edge of my seat so I didn't have to bother that poor guy again. The armrests also do not raise all the way so if you are fortunate enough to have an empty seat next to you you can't get rid of it and stretch out a bit more or rest your head against the next seat.I weigh 100 lbs/about 47 kg. I am thin and not tall. This seat was uncomfortable for me. Now imagine what it is like for any normal human. I will keep flying Qantas but I will never be booked onto an A380 again unless I win the lottery and can go first class. (probably not going to happen?),1,economy class,airbus a380,3x4x3,,,,,,,,,,no,1.0,4.0,1.0,1.0,2.0
69,"""room is a little limited""",M Bradley,2013-02-15,"Heathrow - Singapore - Brisbane. Seat number 69d was comfortable and plenty of room even though I'm 6'3"". The room is a little limited if the person in front reclines as then you have to to use the ife but over all found the journey very good and I even got some sleep.",8,economy class,airbus a380,3x4x3,,,,,,,,,,yes,4.0,4.0,4.0,3.0,3.0
70,"""recline is great and the seat comfy""",Dan Ross,2013-01-23,Seat 38J and K in premium economy are an exit row seat and have no one behind you. However Qantas are changing the configuration of the A380 and these seats will be come part of a multi row economy cabin on the upper deck. Getting in and out of these seats is a doddle. The recline is great and the seat comfy. My only disappointment was that the leg rest didn't extend far enough. I guess that's because if there was a seat in front of me it would have been in the way! If I have the money I'd fly PE again but Qantas doesn't seem to offer it on my route once the Emirates tie in comes into effect,10,premium economy,airbus a380 v1,2x3x2,,,,,,,,,,yes,4.0,5.0,4.0,5.0,5.0
71,"""made the mistake of selecting the bulkhead""",Dan Ross,2013-01-23,60K on a 3-class 747 is a bulkhead. While the seat was as comfortable as the A380 I made the mistake of selecting the bulkhead. It is great as know one is in front of you but there is no cut out for your feet. I know understand why people put their feet on the bulkhead. I wished I'd chosen a standard seat in the end! It's not cramped and if you're upright its fine but if you recline and want to stretch your legs you can't . Trade off I guess between that and no one in front of you. Made it easy to get out from the window seat.,9,economy class,boeing 747-400,3x4x3,,,,,,,,,,yes,3.0,5.0,4.0,4.0,5.0
72,"""managed to sleep""",Dan Ross,2013-01-23,Standard Economy Seat on a full flight and found it really comfortable. I flew Singapore Airlines a couple of years ago and found the seat didn't seem recline enough but here it was great! I think the base slides forward which helped. I wasn't overly fussed with the net foot rest. I would prefer a bar instead. However I managed to sleep which really surprised me as I don't normally sleep in economy! I'd fly Qantas again but their new tie up with Emirates means my route doesn't have any easy option anymore.,10,economy class,airbus a380,3x4x3,,,,,,,,,,yes,4.0,5.0,4.0,5.0,5.0
73,"""the seats recline too much""",M Eggleton,2013-01-03,"This review is for economy seat 48A which is an exit seat if it were a normal seat it would be much lower score (London-Singapore-Melbourne). I think this is one of the best seats to get in economy. You are the last to board and the first to get off. The seat is a window seat so you have the storage thing on the wall to your left to put things in where as if you were 48B or 48C you would have no where. It has part of the door sticking out in front of your left leg so if your over 6'0 you can't really stretch your leg out fully. I'm 6'4 and didn't have a problem with this as you can angle both legs to one side and not obstruct the person to your right and it was intrusive either.. and the best thing is this seat only cost $25 to book compared to the $160-180 they charge for the other extra leg room seats/exit seats (including the two next to you). People say the seats are bad and in August I said this myself I felt they were too hard but for some reason it was fine this time almost like the cushions have been replaced and I really enjoyed the ride. If flying on an A380 with 31"" or less leg room like Qantas you'll want to book a better seat as passengers behind you have no room and can hardly see the TV's quite ridiculous. The seats recline too much. I think a better foot rest would be better than 2"" extra recline.",8,economy class,a380,3x4x3,,,,,,,,,,yes,5.0,5.0,4.0,3.0,5.0
74,"""leg rests are unusable""",Dominic Notley,2013-01-01,I was seated in seat 70G. row 70 is 3x3x3 and is the only row in economy that is like this. The leg rests are unusable recline is good and the seat moves as well as the back to improve comfort Overall the seats were pretty good.,7,economy class,a380,3x3x3,,,,,,,,,,yes,3.0,4.0,3.0,4.0,5.0
75,"""excellent comfortable seats""",R Balfour,2013-01-01,Excellent comfortable seats. I actually slept the whole flight which I have failed to do on other airlines.,9,economy class,boeing 747-400,3x4x3,,,,,,,,,,yes,3.0,3.0,5.0,4.0,3.0
76,"""tightest for legroom""",S Dodd,2012-12-03,I've just completed 8 flights with Qantas and half of them including the B747 were like torture. I'm quite tall and can't afford to buy the extra-legroom seats. I joined their frequent flyer programme in the hope of getting aisle seats but that didn't work. These flights were the tightest for legroom of any of the very many airlines I've used. Knees hard up against the seat in front with no chance of any movement - even worse when the seat in front recliners. On an 8 or 13 hour flight it's hardly bearable. Will not fly with them again.,5,economy class,boeing 747-400,3x4x3,,,,,,,,,,no,1.0,3.0,3.0,1.0,1.0
77,"""leg room was okay but nothing fantastic""",M Bernard,2011-10-26,Flew LAX to SYD on A380 seat 56H aisle seat. Get to my seat and find that something is wrong with my earphone jack so only get sound in 1 ear. The armrest doesn't raise up completely so no one can lean on each other. The leg room itself was okay but nothing fantastic. I'm 6'5 tall and no matter what it's never going to be great I worked out how to move my legs to get maximum space. Flight attendants poor performance by fussing over pseudo celebrities on the flight and not caring much for anyone else. Will avoid Qantas if possible in the future. Disappointing experience.,5,economy class,a380,3x4x3,,,,,,,,,,no,3.0,4.0,4.0,2.0,2.0
78,"""very poor seats on the A380""",Wendy Harris,2011-10-22,Traveled with my husband and son on the A380 flying from SYD - LAX return using the A380 both ways flying economy. Very poor seats on the A380. They were hard and not comfortable at all. The seat width was the same width as the Virgin Australia domestic plane and the leg rest was almost impossible to use if the person in front of you reclined their seat. And once they do recline you can't get your bag from off the floor and it's almost impossible to get out of your chair. It's almost as bad as flying the domestic Qantas planes.,2,economy class,a380,3x4x3,,,,,,,,,,no,2.0,3.0,3.0,1.0,4.0
79,"""seating was cramped""",Michael Kelly,2011-09-19,QANTAS promotes the A380 as their flagship what a bitter disappointment the service and food quality was good economy class seating was cramped cushioning comfortable and reasonably supportive there was no additional room to store reading matter Ipad or glasses. The entertainment system was excellent. Getting from the window seat to the aisle required the other 2 passengers to move from their seats to be stuck in this situation for 12 hours is inhuman the plane was fully occupied. In future I will become more selective in choosing the carrier who provides the best seat pitch on long haul flights.,4,economy class,a380,3x4x3,,,,,,,,,,no,1.0,3.0,4.0,1.0,3.0
80,"""the seat supports me""",Jonathan Blanks,2011-07-28,"Seat 35a I'm tall 6'3"" and long-legged so it's vital I not only have enough legroom but that the seat supports me - I'm also reasonably skinny so can't take a hard seat. There are no exit seats on Qantas 747 Premium Economy only regular seats bulkhead seats and seats with back to bulkhead. 35a is the window seat second row in - I have to say the legroom is terrific no risk of banging my knees - also I could fully stretch my legs under the seat in front which I would not have been able to do with the bulkhead seat And the recline is very good though I believe less so if your seat backs onto the bulkhead (row 37). Only downside is you share loos with Economy. Noise cancelling headphones are good but the AVOD system is looking dated - A380 is much better. Foot rest is useless for taller people - they would be better off having an additional bar to flip out under the seat in front. Seat width is more than adequate for me being a narrow girth. It isn't business class - you have to pay alot more for that - but you do get treated more individually than in economy - and Premium Economy being a small cabin it feels more individual - Qantas get a big thumbs up from me for the overall experience.",8,premium economy,boeing 747-400,2x4x2,,,,,,,,,,yes,5.0,5.0,5.0,4.0,3.0
81,"""no TV unit at all""",Chris Capetanakis,2011-07-28,Hong Kong to Melbourne with no TV unit at all. I was told nothing could be done about it. Nine hours of sitting in a seat with nothing to do. The attendants kept offering me drinks which I thought was odd especially after they advise to keep alcohol consumption to a minimum. What made it worse was that I paid extra for the seat I was in a total waste of money.,3,economy class,boeing 747-400,2x4x2,,,,,,,,,,no,2.0,3.0,2.0,2.0,1.0
82,"""seats are tight in Coach/Economy""",Jim Ash,2011-06-03,The seats are tight in Coach/Economy although the added touches already on your seat when boarding were nice - blanket and pillow as well as headphones and a toothbrush. The Q- Snack care package given to passengers is a nice touch in case one gets a little hungry in between meals. My tv did not work and although there were a couple of open seats 21 rows back I chose not to move seats and before we landed at LAX the First Attendant/Purser visited my seat and gave me some gifts and an apology for the inconvenience; I thought that was quite generous of him.,4,economy class,a330-200,2x5x2,,,,,,,,,,no,3.0,3.0,3.0,3.0,4.0
83,"""made for a numbing 23.5 hours""",David Jones,2011-05-26,Sydney to London on the A380 paid $20 extra to get an exit row seat in order to get extra leg room (seat 66D) as I am over 6ft 2 tall. My main issue with the seats are that there was hardly any thickness to the bottom cushion of the seat so this made for a numbing 23.5 hours so much so that I was hardly able to sleep at all during the entire flight. I estimate that there was approximately only 2.5 inches of padding between the top to the mesh metal base of the seat. The B747 on the outgoing leg of the journey was a lot more bearable. Whoever gave these seats a Design Award must have had no sense feeling from the waist down or actually sat in them for a very short period of time. The only reason why I would recommend this seat would be for the extra leg room apart from that it is a very uncomfortable experience.,2,premium economy,a380,3x4x3,,,,,,,,,,no,5.0,3.0,2.0,4.0,4.0
84,"""had difficulty getting up from my seat""",Helen Louden,2011-05-10,Once the passenger in front reclined his seat fully it was in my face and I had difficulty getting up from my seat or moving let alone trying to collect my bag from under the front seat which was impossible. My husband moved to a free seat beside him which gave me 2 but as seats are concave and armrest does not push up fully out of the way was impossible for me to take advance of 2 seats on a 13hr night flight. The new A380 seating has me now looking to other airline options for long international flights.,1,premium economy,a380,3x4x3,,,,,,,,,,no,1.0,3.0,3.0,1.0,4.0
85,"""very limited overhead storage""",Alan Mackenzie,2011-04-17,I fly to and from London from Melbourne about 10 times a year and try to fly premium economy or business as much as I can. With the introduction of the A380 I expected Qantas to improve seating in both cabins. Unfortunately not. The Premium Economy seat is OK but why would Qantas decide it should be at the back of the upper deck? There is very limited overhead storage especially for people with full size roll on bags. Being at the back on the plane there is far more lateral movement and it is very noticeable so in comparison to the 747 Premium economy I found myself less comfortable due to the bumping around had to shunt by carry on luggage in a different location to where I was and we were one of the later ones off the plane meaning a longer wait in the dreaded passport control. The food was pretty ordinary as well. I can never understand that these flights are always full yet Qantas bleats about struggling to make ends meet and keeps dropping the quality of services.,6,premium economy,a380,2x3x2,,,,,,,,,,no,4.0,4.0,4.0,5.0,5.0
86,"""have more leg room and is pretty comfortable""",James Crocker,2010-08-14,Seated in 80A from MEL-SIN fantastic leg room as no seat in front of you and not an exit row so you do not have to pay for it. Family member was sitting in 80B and for economy seat this was pretty standard compared to other airlines besides for the fact there is a net to place you feet in under the seat in front. This makes it feel you have more leg room and is pretty comfortable. When seats recline the whole seat moves with you including the bottom part so this makes the seat seem to recline a bit more.,8,economy class,a380,3x4x3,,,,,,,,,,yes,5.0,4.0,4.0,5.0,5.0
87,"""legroom was not enough""",H Kang,2010-07-17,I had my first opportunity to fly this A380 operated by Qantas from Sydney to Singapore (approx 9hrs flight). The legroom was not enough and width of the seat was ridiculous as well.,4,economy class,a380,3x4x3,,,,,,,,,,no,2.0,4.0,2.0,2.0,1.0
88,"""tray tables being in the armrest""",Dayne Weiss,2010-02-01,BNE-HKG. Had row 23j/k to myself. Excellent legroom in the bulkhead although having the divider meant no stretching out. Seat width suffered due to the tray tables being in the armrest - PTV's were fold out type which I prefer to seat back.,8,economy class,a330-300,2x4x2,,,,,,,,,,yes,4.0,3.0,2.0,5.0,5.0
89,"""room in this bulkhead seat was excellent""",Dayne Weiss,2010-02-01,SYD-LAX Premium Economy seated in 34K. The amount of room in this bulkhead seat was excellent along with the ability to stretch out on the side lockers that every seat has on the top deck of the aircraft. Excellent AVOD and meals. For the 13hour+ flight premium economy is worthwhile as the is the extra cost over economy but is considerably cheaper than business.,10,premium economy,a380,2x3x2,,,,,,,,,,yes,5.0,4.0,5.0,5.0,5.0
90,"""premium economy was excellent""",J Goonesinghe,2009-12-04,Premium economy was excellent as I have a leg problem - only thing I had the back seat with a protruding wall to the left and could not get out when the seat it front was reclined and had to wake the passenger up. Return journey was better but still had difficulty getting out with the seat in front reclined. I did notice the second row from back had a larger space in front.,7,premium economy,a380,2x3x2,,,,,,,,,,no,4.0,3.0,4.0,1.0,4.0
91,"""easy to get out due to the extra leg room""",Evie Stuart,2009-12-04,LAX-SYD in seat 51K. It's a bulkhead seat at the front of economy which means extra leg room. Was able to move my hand luggage bag to the floor to use as a foot rest which meant it was easier to sleep. It was easy to get out due to the extra leg room. Quick exit at the destination.,9,economy class,a380,3x4x3,,,,,,,,,,yes,5.0,4.0,4.0,4.0,4.0
92,"""A380 was an uncomfortable flight""",Susan Krygger,2009-11-11,I believed that when Qantas advertised changes in the Economy seating they were not clear in advertising it was only for the Premium Economy Seats. I found that the A380 was an uncomfortable flight as when the person in front reclines you are left hardly any leg room also found that the trays were smaller the toilets smaller. I would never fly with Qantas again as I found the ground staff rude and unhelpful when we complained that they had not put our party of 4 together they had even placed the two teenage girls in our party next to a young man which the ground staff explained that they could not make any seating changes we were lucky the flight crew were able to arrange other seating arrangements.,1,premium economy,a380,3x4x3,,,,,,,,,,no,1.0,1.0,1.0,1.0,2.0
93,"""seats very spacious""",Sandeep Das,2009-11-10,LHR-HKG and got upgraded to Premium Economy both ways and even with an Economy Class service it was very good. Seats very spacious especially as I am a big person. IFE had a great choice and easily to reach as in the side armrest. Recline was very good and let me sleep 8 hours straight on the return journey. Luckily I had row 35 both ways which was good as row 36 is missing a window.,9,premium economy,b747-400,2x4x2,,,,,,,,,,yes,5.0,5.0,5.0,4.0,5.0
94,"""seats are very comfortable""",David O'Keeffe,2009-11-10,SYD-LAX. Had phoned through and paid for exit row seat on this flight and it was well worth the $160 AUD. The customer service officer on the phone said I'd be happy with this seat as the flight had been reconfigured. Was not too sure what she meant until I boarded and realised I had a premium economy seat. These seats are very comfortable and I enjoyed the extra seat width and elbow room. Service was fantastic and because we were seated directly behind P/E the drinks cart was not too far away. The seat itself is nice good recline (compared to regular economy) and not knocking elbows is good. TV and table all located in arm rests and easily accessible. As I had the window side of the seats there is the ability to squeeze shoes pillow between seat and wall. Only let down is lack of storage so accessing books/magazines or toiletries I needed to access the locker each time.,9,economy class,b747-400,2x4x2,,,,,,,,,,yes,4.0,4.0,5.0,5.0,5.0
95,"""managed a decent amount of sleep""",Mark Keohane,2009-10-14,Premium Economy LHR-SYD-LHR A380. I had my eye on 38J and K (exit row rear right of the cabin) and managed to get them there and back. This gave us (me + wife) masses of legroom so that wasn't an issue. Recline is OK and we managed a decent amount of sleep though it still felt like airline sleep rather than truly restful sleep. Food was ordinary in truth though nicely served on linen china etc. Staff were excellent on three of the four legs. We were addressed by name on several occasions by smiling crew. On SYD-SIN leg the Customer Services Manager walked around and met everyone in the cabin shook hands and thanked us for flying with Qantas -then repeated this as we approached SIN! Premium Economy cabin is quite close to the tail so lateral movement is quite noticeable during turbulence. IFE is first-class; touch- screen intuitive interface and loads of choice. First time I've taken more than a passing interest. Only disappointment was that the screen has to be stowed during take-off and landing - precisely when the Skycam in the tail is at its most entertaining so you can't watch that part of the proceedings. And finally beware - while these two seats are the best in the cabin for legroom they are also the chilliest. This may be because they are near the galley which has to be cooled or it may be that it's next to the door - though I can't believe this would be the cause of a draught! In any case it was much warmer a few rows forward and we had to cover up well in the excellent blankets to avoid the worst of it and still there was an uncomfortably cool draught on our faces. This was true on both trips (both A380s but different aircraft). So while I'd recommend Premium Economy I'm not sure this is the best place to sit. The ultimate measure is that my wife suffered a lot less from her usual terminal jetlag (we've done this trip quite a lot) and said she would do it again which is not true of 'standard' Economy (there's no going back to Economy now).,8,premium economy,a380,2x3x2,,,,,,,,,,yes,5.0,4.0,4.0,4.0,5.0
96,"""requested an emergency exit seat""",Richard Vanbrugh,2009-10-06,Melbourne to London with Qantas and thought that as part of the One World Alliance and a BA Club card holder I would be allowed to choose my seat online - but was not to be. I requested an emergency exit seat with more legroom only to be told that I would have to pay an additional AU$160! However the services desk informed me that if I wanted an exit seat and sat by the window I would not have to pay anything at all - given that there was the section over the door sticking out which would result in my legs being slight angled but not in the way of the passenger next to me. Well worth it and saved me the money and I would recommend anyone wish for more legroom. Made getting in and out of the seat great and one needs to stretch the legs regularly on such a long flight.,7,economy class,b747-400,3x4x3,,,,,,,,,,yes,4.0,3.0,3.0,3.0,3.0
97,"""leaving room for only one foot""",Steve Clift,2009-08-17,"Half of the foot space under economy ""C"" aisle seats is occupied by an entertainment system box leaving room for only one foot. For added amusement the box gets quite hot. Seat pitch is 31"" and I'm 6' 1"" so there is negative knee-room. 14 hours of this: excruciating. Given a choice between entertainment and somewhere to put my left foot I'd take the foot-space in a heartbeat.",1,economy class,b747-400,3x4x3,,,,,,,,,,no,1.0,3.0,2.0,3.0,2.0
