,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
52,"""quite mediocre, nothing amazing""",P Huang,2018-02-14,"✅ Trip Verified |  The experience was quite mediocre, nothing amazing. The space is very small with 2 sections, dining and relaxation. There was a limited spread of food, Qantas Club Standard. It's one of the least busy Lounge from my experience, a great place for Frequent Flyers as Gold Coast Airport doesn't have the best layout. The Staff were good, and the Lounge was clean consistently including bathroom facilities. Though it is a regional Airport, I think Qantas needs to renovate the space to keep standards consistent.",5,gold coast airport,frequent flyer,february 2018,,3,4,3.0,3.0,3.0,4.0,3.0,yes,qantas club
53,"""place was absolutely soulless""",Steve Bennett,2018-02-12,"✅ Trip Verified |  I normally use the Emirates Business Class Lounge when I am in Hong Kong, but this time a colleague asked me if I would look into the new Qantas lounge, situated above Gate 15. To say that I was underwhelmed is a major understatement. The place was absolutely soulless. Apart from a pleasant view of the apron I can see no other reason for using it in preference to the Emirates one. Maybe it was because the lounge is so big and that there were only about 6 other passengers added to the cold feel of the place. But what I found really irritating is that as I walked up the the bar to order a drink two staff mwmbers, one of whom was the barman were engaged in a conversation. The barman looked straight at me and the turned back to continue his chat. When i then coughed surreptitiously to attract his attention, he eventually saunterred over and said 'Yes' - that was it. I got the distinct impression that I was an encumbrance to him - hardly very welcoming So from now on, I will stick to the Emirates lounge. At least the staff there are welcoming",3,hong kong airport,business class,february 2018,business,3,4,1.0,,,,1.0,no,
54,"""staff were pleasant and attentive""",L Huang,2018-02-05,"✅ Trip Verified |  My first visit to the Lounge, and it was a great experience. It catered for First, Business and high tiered Frequent Flyers. The design made the space open and spacious, with great decor and furnitures to compliment. After the front desk, you re meet with the bar upon entry which not only serves drinks but dishes by Neill Perry. There was a buffet located right next to the dining area with plenty of choices and staff also came around offering more dishes. There was plenty of seating available with overcrowding not being an issue. The staff were pleasant and attentive, and lastly the shower facilities were great. Overall, I loved the space Qantas has design and created.",8,hong kong airport,frequent flyer,january 2018,,4,5,3.0,4.0,5.0,5.0,4.0,yes,
55,"""First impressions were good""",Neil Jeram,2018-01-18,"✅ Trip Verified |  I was keen to try this lounge as I had heard much about it. First impressions were good. Downstairs and into the gin bar which was superb. Upstairs to the other lounge area which had a superb bar and the food service. The food offerings were a little bland and no doubt, hopefully, over time they will improve. Ample seating. Downsides? Just felt a little austere and cold and then the food. The Cathay Pacific lounge at Heathrow offers better food and made to order Asian meals. Just a nice feel to it. Still prefer the Qantas lounges in Singapore HK and LAX but will come too like London in time.",8,london heathrow airport,business class,january 2018,business,4,5,5.0,3.0,5.0,5.0,3.0,yes,
56,"""Lounge is reasonable""",K Weare,2018-01-05,✅ Trip Verified |  This international lounge is reasonable. It’s become excessively busy so a better job could be done of maintaining the self service areas - messy and sad looking. Good wine options available and a cute gelato bar. Food options are average and leave a lot to be desired. Would be a good idea to separate Qantas Club members from business travelers - separate a loud family environment from a quite one.,6,sydney airport,business class,january 2018,business,3,2,4.0,2.0,3.0,4.0,3.0,yes,
57,"""A very pleasant experience""",Eric Fisher,2018-01-01,"✅ Trip Verified |  As a Qantas Club member, I used this lounge before my flight to Brisbane. Darwin's Qantas Club has to be the best QF Club in Australia. The staff were efficient, pleasant and friendly. I tried to upgrade my flight to Business Class but staff informed me that Business Class on the Brisbane flight was full. This lounge is super spacious with excellent furniture/chairs and amenities. There is a runway view if you wish to see what is going on outside. PC's were available for use. There was a great variety of hot and cold foods/ breads and snacks. The curry was to die for! Tables were cleared away quickly with pleasant smiles from the attendants. The bar is spacious with efficient and friendly bar staff. A wide variety of alcoholic and non alcohol drinks were available. A very pleasant experience before boarding the flight to Brisbane. A fantastic standard has been created at this Qantas Club!",10,darwin airport,members,december 2017,,5,5,5.0,5.0,5.0,5.0,5.0,yes,qantas club
58,"""Can't recommend it highly enough""",Jason Law,2017-11-14,"✅ Verified Review |  I always look forward to spending time in the Qantas First lounge at Sydney airport, to the extent of getting there 4-5 hours before a flight! The views across the airfield to the Sydney skyline are amazing. The seating is well laid out, catering for individuals and small groups, but the use of sections to the lounge makes it feel quite intimate. The sit-down restaurant with white-jacketed waiters is one of the best lounge experiences anywhere in the world, and for old-time cool, you can't beat the old fashioned departure board with it's distinctive ""clack, clack, clack"". Fantastic place. Can't recommend it highly enough.",10,sydney airport,first class,october 2017,,5,5,5.0,5.0,4.0,5.0,5.0,yes,first
59,"""definitely needs a renovation""",P Huang,2017-11-12,"✅ Verified Review |  Upon my visit, this Qantas Sydney Domestic business lounge was crowded and busy consistently. Even when passengers left for their flight there was still not enough comfortable seating. The space is getting dated now, definitely needs a renovation. Another discomfort is the seating and table heights, of which are so improportion that it makes dining inconvenient. The only place to comfortably eat is the actual dining area, which is one long communal table with limited seating. It's a good Lounge for now, but Qantas needs to expand the space because more and more passengers enter their Lounges and capacity is reaching new heights. Finally, food and beverages were average, but great to see more option than what's provided in the Qantas Club.",6,sydney airport,business class,november 2017,business,3,3,3.0,3.0,4.0,5.0,3.0,yes,qantas business lounge
60,"""best First Class Lounge for me""",S Heane,2017-11-05,✅ Verified Review |  The best First Class Lounge for me in Asia - comparable or better than other facilities and a stand out within the Qantas product / service range. Restaurant quality food and spa facilities very good if you remember to book. Our 16 year old rated his breakfast one of the best he has had that was not home cooked.,10,melbourne airport,first class,november 2017,,5,5,5.0,5.0,5.0,5.0,5.0,yes,first class lounge
61,"""superb lounge in Singapore""",J Meale,2017-10-22,"✅ Verified Review |  A superb lounge in Singapore, plenty of space and the food and beverages were great. Beef rendang with rice and sago pudding with mango plus other bits and pieces meant eating on the flight was not necessary. A visit to the showers beforehand freshened things up nicely after the heat and humidity of running around Singapore. This lounge has the table service also and the barkeep who will come around with a trolley to refresh beer and wines. Along with the lounges in HK and LAX this one is the best in the QF network. Now for Qantas to refresh the Sydney lounge please along the lines of Singapore.",10,singapore changi airport,business class,october 2017,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,singapore
62,"""Lounge does look outdated""",P Huang,2017-10-13,"✅ Verified Review |  A pleasant visit but nothing amazing. The Lounge does look outdated and needs a lift, though the view of the tarmac is quite amazing. I found it hard to find a comfortable spot to relax as furnitures had uneven heights. Food was above average but beverages needs more options. I didn't see many staff around, besides the front desk but the space was clean through out. If you can, visit the Business Lounge instead.",6,perth airport,frequent flyer,october 2017,,3,4,3.0,3.0,3.0,5.0,3.0,yes,qantas club
63,"""the ambiance wasn't great""",P Huang,2017-10-11,"✅ Verified Review |  First time visit to the Qantas Auckland Lounge. I was greeted upon entry, and made my way in to find a quiet spot to relax before my flight. The space was quite small but open, furniture looked outdated and the ambiance wasn't great as it felt like a big room with lots of chairs placed in. Beverages was limited, no barista made coffee nor any sparkling water. Food was below average, there was hardly a selection of bread or pastry. On the upside, the staff were attentive and the space was kept clean throughout my visit. Definitely a location Qantas needs to look at renovating, considering how many people fly over the Tasman between Australia and New Zealand. Use the Lounge if you have to but for Business Class and Frequent Flyers of One World Sapphire or higher tiers, try to fly in the afternoon as you can take advantage of the Emirates Lounge, which is so much better in every way.",5,auckland airport,business class,october 2017,business,3,4,2.0,2.0,4.0,4.0,4.0,yes,qantas business lounge
64,"""don't have too high expectations""",P Huang,2017-10-10,"✅ Verified Review |  My first time visit while travelling on a codeshare flight between Qantas and Emirates. As far as my judgement goes, it was average. The space is a smaller then anticipated, but during my morning visit it was very quiet so there was plenty of seats. It's great to experience the A La Carte dining on offer during breakfast, but nothing overly amazing. Lately I find the Qantas team very cold, they just aren't personal like my previous experience. Everyone I come across just can't seem to hold a conversation and I think some re-training should be in order. I had a feeling I should have visited the Emirates Lounge instead. Overall, the Lounge is worth a visit but don't have too high expectations.",6,melbourne airport,first class,october 2017,,4,5,3.0,3.0,4.0,5.0,3.0,yes,
65,"""we struggled to find a seat together""",A McNicol,2017-09-22,✅ Verified Review |  After reading rave reviews I was keen to try this facility as my usual flight habits only permit access to the adjacent Qantas Club. As a couple we struggled to find a seat together at 7.00am on a Monday morning and then needed to queue for bathrooms and food. Next time when I revert to the Qantas Club I will not suffer from the envy I previously experienced in missing out on this facility.,6,brisbane airport,business class,august 2017,business,3,4,,4.0,1.0,5.0,4.0,yes,business lounge
66,"""interior was appealing""",P Steene,2017-09-05,"✅ Verified Review |  Very good business lounge of Qantas at the international terminal in Sydney – one of the better business lounges that I have seen. The interior was appealing, you have a nice view of the airport. Showers are available. The food was very decent. But the highlight of the lounge are two espresso bars which serve you fresh coffee drinks. The only downside was that the lounge was quite full when I arrived so that it was difficult to find a seat.",8,sydney airport,business class,september 2017,business,4,5,5.0,4.0,5.0,5.0,4.0,yes,
67,"""lounge was very clean""",P Huang,2017-09-03,"✅ Verified Review |  The Business Lounge is located behind the Qantas Club. It's currently quite small and with the renovations on the way, hopefully the space will equate to the Sydney/Brisbane location. It was quite busy during my visit, so a seat looking over the tarmac was not available. Food was a lot better than that of Qantas Club, with hot dishes and tasty deserts. Beverages was average with on demand barista made coffee, bar service and self serve flowing soft drinks. Overall, staff were very present and the lounge was very clean.",7,melbourne airport,business class,august 2017,business,3,4,3.0,3.0,3.0,5.0,5.0,yes,
68,"""had a very relaxing time""",L Huang,2017-08-21,"✅ Verified Review |  First time visit to the Qantas Club at Melbourne. The Lounge is split in two, with one half facing the tarmac which offered amazing views and natural lighting while the other side is situated in an enclosed environment with an open bar, buffet and TV screens. I think the food on offer isn't the greatest, especially for someone who visit lounges every month. It's definitely something to evaluate, and changing the menu often will entice customers to come back which will equate to more people travelling with Qantas. I had a very relaxing time on my visit and managed to catch some sunshine to warm up. Staff were friendly and the lounge was kept clean throughout. Looking forward to my next trip.",7,melbourne airport,frequent flyer,august 2017,,4,4,3.0,3.0,3.0,5.0,4.0,yes,qantas club
69,"""lounge staff are welcoming""",David Dale,2017-08-18,"✅ Verified Review |  The Cairns Qantas Club I find is one of the better domestic lounges on the Qantas network. The lounge staff are welcoming and saw them go out of their way to help customers. Ample space, lots of seating options, power point accessibility, food options adequate and lots of beverage options and the wifi was very good. The lounge has a good view over the airside and runway area of the airport. The lounge was clean and had a hard working attendant clearing away dishes. I do like visiting the Cairns Qantas Club and recommend it.",10,cairns airport,frequent flyer,august 2017,,5,4,4.0,4.0,4.0,5.0,5.0,yes,qantas club
70,"""Thanks for a great visit""",L Huang,2017-08-13,"✅ Verified Review |  First time visit to the Sydney Qantas Club, I had low expectations but it proved me wrong. The space for the lounge is very open but at the same time certain parts of the lounge is quiet and private, perfect for relaxation. For a domestic lounge, it is very big which is great for capacity. It was an early Sunday morning so the lounge was reasonably busy but not crowded. The food and beverages were adequate for breakfast, with barista made coffee on demand. The views over the tarmac is something quite spectacular and this is something Qantas lounges thrive on. Having natural light come through the entire lounge creates an open environment, which include being energy efficient during the day. Thanks for a great visit.",7,sydney airport,frequent flyer,august 2017,,4,4,4.0,3.0,4.0,3.0,4.0,yes,qantas club
71,"""smelt awful and was very old""",R Lambie,2017-08-01,"✅ Verified Review |  This lounge was terrible, it smelt awful and was very old. Food was also not good. It is much nicer to sit downstairs in the airport food court area. I would definitely not recommend business class with Qantas or this lounge. Extremely disappointing!",1,denpasar bali airport,business class,july 2017,business,1,1,1.0,1.0,1.0,1.0,1.0,no,
72,"""didn't live up to expectations""",L Huang,2017-07-31,"✅ Verified Review |  First time visiting the Brisbane Qantas Club since receiving my Gold Status Membership through Qantas and it didn't live up to expectations. The Lounge can be accessed after the general security checks, or via a Qantas Premium entry for frequent fliers with high status, which I find very convenient. It was consistently busy, so looking for seats requires a bit of effort with parts of the space under maintenance, which made finding a restroom difficult. The food and beverages was quite limited, including no hot food and halfway through my visit soft drinks became unavailable. Barista made coffee was a great initiative and internet was fast and efficient. My expectations was not met by this Lounge, hopefully the Sydney and Melbourne locations can live up to its name.",6,brisbane airport,frequent flyer,july 2017,,3,3,3.0,3.0,2.0,5.0,4.0,yes,qantas club
73,"""lounge is crowded and noisy""",C Lannor,2017-07-13,"✅ Verified Review |  This lounge is crowded and noisy, with hordes of children most of whom are running amok. I know this reflects more on the parents than the airline, and I do understand kids need to burn off some energy before they fly, but in the business lounge tearing about on suitcase scooters or generally playing games of chase around the chairs and up and down the aisles? This lounge appears to be in need of a separate family area that has the facilities to entertain children or rules for acceptable behaviour by all lounge visitors to assist the general ambiance expected by most adults in a business class lounge. Alas my gripes continue - the appearance, choice and quality of the food is unappetising. Where's Neil Perry? I'm hoping I have just been unlucky to visit on a 'bad' day and my flight is better than this experience!",3,sydney airport,business class,july 2017,business,1,3,2.0,1.0,3.0,3.0,1.0,yes,international
74,"""Qantas have moved their lounge""",R Binding,2017-06-07,"❎ Unverified |  Qantas have moved their lounge as Honolulu Airport is in the process of renovation. We were told it was the old Delta Airlines lounge with a tacky indoor fountain. We arrived early at 8.15am for the 11.05am flight to Sydney, within 1 hour it was full and some people were turned away. The breakfast provided was quite good and the staff did their best to keep topping up the replenished food. It is quite a long way (15 minute walk) to Gate 34 so the not so young would find this difficult without a wheel chair. We were also advised that Qantas may not return to their old lounge area which hopefully be renovated.",2,honolulu airport,business class,june 2017,business,2,3,3.0,2.0,2.0,1.0,3.0,yes,
75,"""the experience was great""",L Huang,2017-05-28,"✅ Verified Review |  It was my first time in this lounge and it didn't disappoint. The interior with amazing decor and lighting. From what I can see, the Lounge was separated into three sections, the middle section facing the main entrance. It was very early in the morning which means food was fresh from the kitchen. Great selection of cereals, fruit, dairy, pastry and hot food. Overall, the experience was great.",8,sydney airport,business class,may 2017,business,4,4,4.0,4.0,4.0,4.0,4.0,yes,
76,"""it was slightly confusing""",P Huong,2017-04-25,"✅ Verified Review |  I decided to give the Melbourne Domestic Business Lounge a try. First impression, it was slightly confusing. To Access the Business Lounge you have to walk through the Qantas Club all the way to the back and the doors will automatically open. It was quite busy, but not crowded. Limited selection of food as it was breakfast time but plenty of drink options. Lounge staff were attentive to cleaning and presentation of space. Lastly, the view over the tarmac was amazing on a very sunny day.",7,melbourne airport,business class,april 2017,business,4,4,4.0,3.0,3.0,5.0,4.0,yes,
77,"""needs a bit of work on catering""",H Luong,2017-03-27,"✅ Verified Review |  There were many sections which can cater for families, couples and big groups and located close to Qantas operated gates. The food is a bit of ""hit and miss"" and incredibly plain, though it did get better as dinner was being served. The biggest win is the view over the tarmac with a spectacular sunset, just needs a bit of work on the catering department. Looking forward to visiting Japan again.",8,tokyo narita airport,business class,march 2017,business,4,5,4.0,3.0,4.0,5.0,4.0,yes,
78,"""great domestic business lounge""",S Hanakethera,2017-03-26,"✅ Verified Review |  This is a great domestic business lounge at Perth Airport. There are the usual wine and champagne offers, but as well as hot food (chicken curry and rice) and salads, they have freshly made pizzas (ham and cheese). Plenty of space and different seating options with several charging stations (you need to look for them discretely hidden on the floor under the seats in some places). Good Wifi access throughout as you would expect. Particularly friendly and helpful staff,  wandering through the lounge asking whether people need anything.",10,perth airport,business class,march 2017,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
79,"""enjoy the service it has to offer""",H Luong,2017-03-16,"✅ Verified Review |  First time visiting this Brisbane International Lounge, as I heard it has been renovated. Before departing to Tokyo, I had a couple of hours to enjoy the service it has to offer. Let me say, it did not disappoint as the interior looked so amazing, warm and welcoming. The Lounge Team were around to help out and give amazing service. My only thing in regards to improvement is the food options, I know it was breakfast time, but having only bacon, eggs and tomatoes as savoury options is just not enough. That's just my opinion, others might think different. I'm looking forward to trying one of their Lounges on my way home from Tokyo.",7,brisbane airport,frequent flyer,march 2017,,5,4,3.0,3.0,4.0,4.0,5.0,yes,
80,"""lounge in need of modernization""",A McNicol,2017-02-09,❎ Unverified |  Qantas lounge at Auckland Airport. On the positive side lovely staff and lots of room. Other than this the ambience is very tired and this lounge is long in need of modernization. Long rows of identical seats with adequate food and drink offerings. All Qantas management need to do is look next door at the Emirates lounge and what is on offer to realize how time has left this lounge behind.,7,auckland airport,business class,february 2017,business,2,5,3.0,3.0,5.0,5.0,5.0,yes,qantas club
81,"""menu available was gorgeous""",Catalin-Alexandru Epure,2017-01-03,"✅ Verified Review |  This was the first real First Class Lounge I have visited since I got my OW-Emerald status and it was perfect. From the entrance with the plants on the wall making oxygen until the last step out. Both times I have visited it was in the morning and the menu available was gorgeous. Combining Australian fresh ingredients with international products to make a very tasty and healthy experience. The waiters were friendly and knew what they are doing. With their uniforms a big thumbs up! They serve the tea with fresh milk exactly like in their planes aboard. I have used the business facilities, including printers, everything was (as I said) perfect. I even got to use the spa and got a 20 minutes massage which made my day, before a 14h30' flight back to SFO, although that in the massage room the shower was not working (things happen, it is no problem) Thank you, Qantas!",10,sydney airport,first class,december 2016,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
82,"""still ranks as my favorite""",B Tallner,2017-01-01,"✅ Verified Review |  This lounge still ranks as my favorite, restaurant quality food, great service and the best view at Sydney airport. Having dinner before my flight to Tokyo, the new slow cooked lamb from the Summer menu was fantastic as was accompanying red wine. Taking a late night flight also helps on numbers in the lounge which was almost empty. Overall great experience.",9,sydney airport,first class,december 2016,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
83,"""look at their competitors""",Krystal Fernandez,2016-12-26,Qantas needs to take a good look at their competitors to learn about customer service! My husband and I have just arrived at Qantas Melbourne business class lounge to be turned away very rudely by a attendant at the lounge because my husband has thongs (flip flops) on. Now I understand that this might be their policy however what I don't understand is that they do not inform customers of this prior to checking in bags and how clean presentable thongs (flip flops) are not allowed - I have watched people enter with dirty runners and sock with sandals. What is the most disappointing part is the attitude of the staff. Having flown business class with several other airlines I now realise why Qantas is never rated as the best. Customer service is one of the big reasons people chose to upgrade. Very dissappointing Qantas!,1,melbourne airport,business class,december 2016,business,1,1,1.0,1.0,1.0,1.0,1.0,no,melbourne
84,"""in need of a bit of a refresh""",W Burchell,2016-10-30,The International Business lounge at Melbourne Airport is in need of a bit of a refresh with the decor starting to show its age. The food l had was tasty but there was a lack of hot meal choices. Drink range is decent both for hot and cold beverages. Staff were non existent but that didn't worry us. Kids area is tiny and hasn't been updated for years.,5,melbourne airport,business class,october 2016,business,3,4,4.0,3.0,2.0,3.0,,yes,
85,"""impossible to find a seat""",W Burchell,2016-10-30,"The lounge is new and looks great but as Qantas have there four flights departing within an hour of each other unless you arrive three hours before your flight it is impossible to find a seat. We were travelling as a family and subsequently went to the kids area where we found three families sitting on the floor due to other people without kids taking up all the space. The kids area is a good space but has no toys and only one table for kids to eat at, which is very poor. I made comment as such to the staff who couldn't of cared less, that was until a staff came over and she made an effort to find non families in the kids area a seat out in the main section so we could actually get off the floor. She also obtained drinks for us and generally made us feel welcomed. The food and drink selection is excellent.",7,hong kong airport,business class,october 2016,business,1,3,4.0,4.0,3.0,4.0,5.0,yes,
86,"""had over five enjoyable hours""",B Wijesinghe,2016-10-29,"✅ Verified Review |  This Qantas lounge is shared by British Airways and Cathay Pacific, and I accessed it as a Cathay Pacific First Class passenger. I was welcomed at the reception counter, and staff was outstanding. A good choice of high quality food and beverages is offered, while the ambiance and layout have an understated and timeless elegance. I was told that it is a smaller version of the Qantas First Class Lounge in Sydney. The many areas of comfortable seating allow for the space to feel less crowded, even when busy. They didn't have any computer terminals, only Wi-Fi, but allowed me to use the adjacent One World Business Class Lounge that had several computer terminals available. My flight was delayed, so I had over five enjoyable hours in this lounge, and highly recommend it one of the best First Class lounges that I have visited globally.",10,los angeles lax airport,first class,october 2016,,5,5,5.0,5.0,4.0,4.0,5.0,yes,
87,"""space itself is dated""",I Vadell,2016-10-23,"✅ Verified Review |  While I find the seating options at the Sydney Domestic Qantas Club comfortable enough, the space itself is dated. The toilets are old and show their age. They have had some harsh use! The dish collection is frequent. The food and beverage offering is okay but nothing spectacular. Great if you love eating salad. The view out onto the apron is nice. The wifi is quick enough. Ideally however, the space would be updated to bring the Qantas Club in to modern times.",7,sydney airport,frequent flyer,october 2016,,4,4,4.0,3.0,2.0,4.0,4.0,yes,qantas club
88,"""Qantas needs to lift its game""",Mike Debinski,2016-10-19,"We are travellling to Dubai from Melbourne with Qantas and used the business class lounge here. Oh my, food awful, limited choice, stale bread, average drinks, no good cheese - expect the plastic stuff. Qantas needs to lift its game.",3,melbourne airport,business class,october 2016,business,3,4,1.0,1.0,3.0,4.0,3.0,no,qantas international
89,"""oasis of peace and calm""",Francis Wong,2016-10-18,"Flying with Qantas as a oneworld emerald member allowed me to check in at first class counter, given fast track immigration, and best of all, access to first class lounge here at Sydney. It is spacious and an oasis of peace and calm. Overlooking the tarmac with stunning view, lovely menu with sit-down ala carte service, a wonderful wine list etc. all makes you feel like dining any a 5 star restaurant. I wish I knew I was going to come here, I would have booked the free spa treatment ahead of time. However, they do close after 3:30pm, which I thought was too early. Overall, it's lovely to spend a few hours here before one's flight.",9,sydney airport,first class,september 2016,,5,5,5.0,5.0,5.0,5.0,4.0,yes,
90,"""sprawling but overcrowded""",J Gaffney,2016-10-04,The lounge is sprawling but overcrowded. There was barely a seat to be found and few charging points for devices. The breakfast food choices were basic and limited. The barista coffee was a bit more impressive. Apparently a breakfast special is available if you ask for it and this looked to be a much better freshly cooked option.,5,melbourne airport,business class,september 2016,business,3,3,2.0,1.0,3.0,3.0,2.0,yes,
91,"""the worst on their network""",W Stanborough,2016-09-09,"The Qantas Business Class Lounge in Honolulu has to be the worst on their network. We arrived via a badly signposted, unwelcoming walkway along which a few other airline lounges were located (so we guessed we on the right track). When we were finally buzzed in it soon became evident that it was very crowded and only a few individual chairs available. The lounge is dark (not letting any of the bright Hawaiian sunshine in) and the decor very tired. After a couple of minutes we left preferring to wonder around the airport. I'm not sure what the point is of having Qantas' good name attached to it.",2,honolulu airport,business class,september 2016,business,2,2,2.0,2.0,2.0,3.0,2.0,no,
92,"""A perfect sanctuary""",Ignacio Foley,2016-09-05,"✅ Verified Review |  I was given a very warm welcome. Offered a glass of champagne at the entrance and escorted to a table to enjoy the wonderful dining options and magnificent wine cellar.  The service was outstanding as was the quality of the food and selection of fine wines. A perfect sanctuary before a longhaul flight, with easy access from the main terminal. Despite the number of flights, the lounge did not feel chaotic or too small. WIFI was efficient, shower rooms extremely well appointed and spacious, I cannot recommend this lounge more highly.",10,los angeles lax airport,first class,august 2016,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
93,"""plenty of room to move about""",Daniel Strassberg,2016-08-09,"Coffee is brilliant in the lounge made by the barista and catering is very nice too. Breakfast time was my visit and the choice was hot and cold and go variety. WIFI is free and easy to use. Lounge is clean, staff are friendly and plenty of room to move about.",10,sydney airport,business class,august 2016,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,domestic business lounge
94,"""terrible experience in lounge at Hobart""",Filippo Peverini,2016-08-07,I'm usually a fan of Qantas but a few weeks ago I had a terrible experience in the Qantas lounge in Hobart. I was not flying with Quantas that day but a friend of mine invited me as a guest. His flight was sooner than mine so he left a little earlier. I was finishing a coffee and just about to get a toasted sandwich when a Qantas staff member approached me and asked me to leave immediately as my host had left.  Of course I left but that really made me feel like a horrible person. As if I was there stealing the food and drink. I fly a lot and have to say there are other airlines that would not go that far. Is it really worth it treating people like this? A little niceness ususally goes a long and creates a good feeling in potetntial customers. If it is worth the price of a coffee and a toasted sandwhich I would suggest revisiting your policies.,1,,frequent flyer,july 2016,,1,1,1.0,1.0,1.0,1.0,1.0,no,hobart
95,"""powerpoints and sofas to rest""",Anandwardhan Hardikar,2016-07-17,"The lounge does not open until 6pm for the 10 pm Qantas flight. The lounge staff were welcoming and provided the best they could offer in terms of vegetarian options. There are plenty of powerpoints and sofas to rest and work. However, the only down side is that the shower rooms provide only towels - no shaving accessories, tooth brush or combs available. When I inquired further, the staff said that they have not received any accessories from Qantas to pass them on. Come on Qantas - send these on to Dallas lounge.",7,dallas fort-worth airport,business class,july 2016,business,5,5,5.0,5.0,3.0,5.0,5.0,yes,
96,"""a very pleasant surprise""",A McNicol,2016-06-29,"A very pleasant surprise! The Louis Tavern lounge is on two levels, a somewhat crowded lower level and a very quiet and comfortable upper level with views both internal to the main terminal and one runway. Food and drink offerings whilst not exceptional were more than adequate, with very friendly and obliging staff. At airports with no dedicated Qantas club the Associated Lounges can be a mixed bag. This is one of the better ones.",9,bangkok suvarnabhumi airport,business class,june 2016,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,louis tavern
97,"""appalled by his attitude""",K Kim,2016-06-08,"Flying Korean Air from BNE to ICN on business class last year in July. At Brisbane Airport Korean Air uses Qantas business lounge for their customers. Had a pretty poor experience with a Qantas business lounge staff. Earlier I had gone into the lounge and enjoyed half an hour of refreshment and catching up on email. I wandered around looking for the bathroom and stepped outside the lounge to see whether it was located outside. I wasn't able to find one so I decided to look back inside. As I tried entering again, the staff member yelled at me and asked where I was going. I said  that I was looking for the bathroom. In a very rude tone, he yelled back saying the bathroom was downstairs, so I asked was there a bathroom inside and he replied back saying this is a business lounge in a very condescending tone. I am not too sure whether he thought that I didn't belong there from the way I looked. I was dressed in smart casual attire. Even if I was lost and made my way up to the lounge he shouldn't have spoken in a such a condescending tone. I was very appalled by his attitude.",1,brisbane airport,business class,july 2015,business,3,3,3.0,2.0,2.0,2.0,1.0,no,qantas business lounge
98,"""looks like a long shed""",Graham Brown,2016-06-04,"Not impressed with the layout of the Qantas lounge at Hong Kong Airport, looks like a long shed enclosed by glass above the general public area, no privacy. Heading back to Australia we were dressed for the cold awaiting us, the lounge was hot and humid with the strong sun warming the glass. A very uncomfortable experience would have to rank it very low compared to other business lounges. The food was unremarkable. The only saving grace was the attentive staff.",4,hong kong airport,business class,june 2016,business,2,5,5.0,3.0,4.0,4.0,5.0,yes,business lounge
99,"""staff friendly and attentive """,W Burchell,2016-05-22,"As Qantas only has one flight from terminal 2, which is where the lounge is located, the night we visited the lounge was very quiet. The staff are friendly and attentive as you would expect in Japan, drink choice was amazing with open bar. There was plenty of snack choices but no real substantial offerings on the night we visited. Not really family friendly either as no kids zone.",7,tokyo narita airport,business class,may 2016,business,4,5,5.0,3.0,4.0,3.0,4.0,yes,
100,"""it is quite comfortable""",T Zhang,2016-05-13,"Many people flying to America forgot to use this lounge. I quickly exited the domestic terminal and went to the Tom Bradley international terminal. The Qantas First Class lounge is very easy to find. It was very big and there are quite some people there, especially the dining area. I had a short connection time. So I went to the dining table and ordered fish and others. Food was served pretty quick and the quality was good too, but the portion is quite small. Somehow, it made me miss the buffet in the business lounge next door. LOL. As a First Class lounge, it is quite comfortable and would recommend if you have Oneworld Emerald or a first class ticket.",8,los angeles lax airport,first class,november 2015,,4,5,4.0,5.0,4.0,4.0,3.0,yes,qantas first class
101,"""staff were attentive""",S Davey,2016-05-09,"Nice lounge, only having been in Emirates First Class lounge, this does not compare well but the food was good, staff were attentive, plesant and professional. The food was good (breakfast) announced boarding calls were clear. Atmosphere was fine. Recommend this lounge as opposed to waiting in public areas.",8,auckland airport,business class,april 2016,business,4,5,5.0,4.0,5.0,,5.0,yes,
102,"""recommend this lounge""",Jayden Wong,2016-04-27,"✅ Verified Review |  I entered the lounge at 7:30am, it was extremely quite and peaceful with only 5 passengers including myself and my mother. The staff were friendly and talkative. The bar offered wine and Hong Kong style beverages such as HK milk tea, it was nice to start my journey. The lounge has shower facility. As Japan Airlines put their passengers in the Qantas lounge, most food offered was Japanese cuisine. The lounge itself was massive plus the time I enter was quite. I highly recommend this lounge especially if traveling in the morning and afternoon.",10,hong kong airport,business class,april 2016,business,5,5,5.0,5.0,5.0,,5.0,yes,
103,"""friendly and helpful staff""",Daniel Strassberg,2016-04-26,"✅ Verified Review |  Beautiful lounge at LAX International with a great menu, and friendly and helpful staff. Comfortable chairs and lots of space despite the number of flights leaving every evening. Food choices off the menu is nice rather than a buffet and staff eager to please fussy eaters and children.",10,los angeles lax airport,first class,april 2016,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
